TicketID,CreatedDate,ClosedDate,Priority,Status,CategoryID,CategoryText,Department,AssignedAgentID,FirstResponseMinutes,ReopenedFlag
T0003180,2025-05-23 17:48:48.524794,2025-05-23 19:43:26.239014,P2,Closed,C002,VPN / Remote Access,HR,A0032,10.0,0
T0000253,2024-07-26 04:11:48.524794,,P3,Pending User,C008,Application Failure,IT,A0002,47.0,1
T0004268,2025-09-14 06:11:48.524794,2025-09-15 02:38:52.291712,P3,Closed,C009,Access Req,Engineering,A0003,29.0,1
T0002080,2025-01-30 00:49:48.524794,2025-01-30 03:06:24.174733,P1,Closed,C011,Slowness,Finance,A0013,1.0,0
T0001883,2025-01-09 12:59:48.524794,,P3,Open,C003,Wi-Fi / LAN Connectivity,Customer Support,A0036,,0
T0003311,2025-06-06 01:07:48.524794,,P3,In Progress,C006,Hardware Replace,Procurement,A0052,119.0,0
T0002986,2025-05-06 02:07:48.524794,2025-05-06 21:29:04.224374,P3,Resolved,C007,Printer / Peripheral ,Operations,A0026,15.0,0
T0000485,2024-08-15 00:18:48.524794,2024-08-15 05:58:06.165008,High,Resolved,C011,performance / slowness,Finance,A0038,143.0,1
T0001931,2025-01-15 20:43:48.524794,2025-01-16 03:27:55.062665,P3,Resolved,C008,APPLICATION CRASH,Procurement,A0051,43.0,0
T0002980,2025-05-05 06:16:48.524794,,P2,In Progress,C002,VPN / REMOTE ACCESS,Finance,A0005,27.0,0
T0003878,2025-08-04 01:00:48.524794,2025-08-04 06:11:38.874612,P3,Closed,C009,Access Req,Engineering,A0048,8.0,0
T0004956,2025-11-27 11:56:48.524794,,P3,Pending User,C009,ACCESS REQ,Sales,A0046,6.0,0
T0000961,2024-10-05 01:35:48.524794,2024-10-05 19:06:39.254792,P3,Closed,C006,Hardware Replacement,Operations,A0021,23.0,0
T0000244,2024-07-24 20:32:48.524794,2024-07-25 00:06:39.036318,P2,Closed,C012,Collaboration Tool,Engineering,A0038,14.0,0
T0001992,2025-01-21 21:39:48.524794,,P3,In Progress,C003,Wifi Issue,Finance,A0019,92.0,0
T0002380,2025-02-28 19:22:48.524794,2025-03-02 13:19:11.311197,Medium,Resolved,C008,APPLICATION FAILURE,Procurement,A0028,1.0,0
T0000995,2024-10-07 19:18:48.524794,2024-10-08 03:20:48.644148,P3,Closed,C008,Application Failure,Sales,A0051,7.0,0
T0001990,2025-01-21 15:04:48.524794,,P3,In Progress,C008,App Crash,Customer Support,A0022,67.0,0
T0000164,2024-07-17 01:48:48.524794,2024-07-17 14:38:05.534655,P3,Resolved,C001,email,Legal,A0023,15.0,0
T0002483,2025-03-12 16:22:48.524794,2025-03-13 10:38:43.344922,P2,Closed,C009,NEW ACCESS,Finance,A0025,2.0,0
T0001145,2024-10-25 02:18:48.524794,2024-10-25 22:07:27.254938,P3,Closed,C004,Password Reset / Account Lock,Customer Support,A0043,184.0,0
T0002199,2025-02-10 15:37:48.524794,2025-02-10 18:00:48.112333,P1,Resolved,C009,New Access,HR,A0025,44.0,0
T0004773,2025-11-07 11:45:48.524794,,P2,Pending User,C011,Performance / Slowness,Marketing,A0040,17.0,0
T0001972,2025-01-19 07:22:48.524794,2025-01-20 03:22:39.061810,P3,Resolved,C002,VPN / Remote Access,Finance,A0042,69.0,1
T0003416,2025-06-17 23:47:48.524794,,P2,Open,C004,PASSWORD RESET / ACCOUNT LOCK,Marketing,A0024,101.0,1
T0004913,2025-11-23 00:32:48.524794,,High,In Progress,C004,Account Locked,HR,A0001,27.0,0
T0000853,2024-09-24 07:44:48.524794,2024-09-27 23:10:05.053067,P4,Closed,C009,new access,Operations,A0027,61.0,1
T0001759,2024-12-29 12:58:48.524794,2024-12-30 13:30:27.682962,P4,Closed,C010,Alert - Security,Engineering,A0005,90.0,0
T0000283,2024-07-28 12:26:48.524794,,Low,Pending User,C003,LAN Connectivity,Operations,A0023,143.0,0
T0001644,2024-12-16 19:29:48.524794,,P3,In Progress,C002,remote access ,Operations,A0018,17.0,0
T0003216,2025-05-27 17:24:48.524794,2025-05-28 20:18:55.822797,P3,Closed,C012,Collaboration Tool,Marketing,A0041,17.0,0
T0004194,2025-09-07 04:55:48.524794,2025-09-09 06:34:39.264786,P3,Resolved,C004,Password Reset / Account Lock,Operations,A0013,32.0,0
T0000168,2024-07-17 11:38:48.524794,2024-07-19 19:35:00.697674,Low,Closed,C001,Outlook Issue,Operations,A0041,138.0,0
T0000711,2024-09-08 14:27:48.524794,,P3 ,Open,C002,VPN / Remote Access,Operations,A0038,121.0,0
T0004189,2025-09-06 16:38:48.524794,2025-09-06 20:02:14.638858,P1,Closed,C003,LAN Connectivity,Engineering,A0054,92.0,0
T0001665,2024-12-18 20:52:48.524794,2024-12-19 01:56:36.725167,P3,Closed,C007,Peripheral,Marketing,A0044,165.0,0
T0003768,2025-07-23 10:34:48.524794,,P3,In Progress,C004,Account Locked,Engineering,A0030,80.0,0
T0002957,2025-05-03 00:27:48.524794,2025-05-03 23:11:56.400850,Medium,Resolved,C008,APPLICATION CRASH,Engineering,A0016,176.0,0
T0001582,2024-12-10 01:17:48.524794,2024-12-11 05:17:29.692786,P4,Closed,C002,VPN,Finance,A0029,87.0,0
T0001339,2024-11-14 01:51:48.524794,2024-11-15 20:04:16.183892,P-4,Closed,C009,Access Request,Engineering,A0050,210.0,0
T0001864,2025-01-07 18:32:48.524794,2025-01-09 19:40:07.580213,P4,Closed,C009,new access,Customer Support,A0002,8.0,0
T0004202,2025-09-07 14:49:48.524794,2025-09-07 21:31:51.926028,P3,Closed,C009,Access Req,Operations,A0042,49.0,0
T0000654,2024-09-02 15:52:48.524794,,P3,Pending User,C004,Password Reset / Account Lock,Customer Support,A0050,42.0,0
T0002048,2025-01-27 15:07:48.524794,2025-01-29 03:25:24.909020,P-4,Resolved,C006,Hardware Replacement,HR,A0004,18.0,0
T0001023,2024-10-11 05:57:48.524794,,P4,In Progress,C003,Wi-Fi / LAN Connectivity,Engineering,A0035,2.0,0
T0001693,2024-12-22 05:09:48.524794,2024-12-23 09:38:59.634097,P3,Resolved,C005,Software Installation,Marketing,A0001,17.0,0
T0001299,2024-11-10 01:26:48.524794,2024-11-10 03:44:11.703983,P2,Closed,C009,Access Req,Finance,A0047,73.0,1
T0002020,2025-01-24 21:15:48.524794,,P2,In Progress,C006,HARDWARE REPLACEMENT,IT,A0060,1.0,0
T0004930,2025-11-24 20:12:48.524794,2025-11-25 16:14:39.689756,P3,Closed,C002,VPN,Engineering,A0059,56.0,0
T0002164,2025-02-06 15:49:48.524794,,P4,Pending User,C008,App Crash,Finance,A0032,4.0,0
T0005063,2025-12-07 00:24:48.524794,2025-12-09 04:46:35.970642,P3,Resolved,C006,HARDWARE REPLACEMENT ,Operations,A0018,116.0,0
T0004098,2025-08-28 11:36:48.524794,2025-08-29 05:40:08.763913,P-3,Closed,C009,Access Request,Marketing,A0056,217.0,0
T0003275,2025-06-01 22:31:48.524794,2025-06-05 18:04:39.047277,Low,Resolved,C004,Pwd Reset ,Engineering,A0036,,0
T0000332,2024-08-02 03:29:48.524794,2024-08-02 18:19:36.029369,P3,Closed,C008,Application Failure,Legal,A0020,13.0,0
T0004591,2025-10-17 12:58:48.524794,,P1,In Progress,C011,SLOWNESS,HR,A0014,7.0,0
T0002393,2025-03-02 08:21:48.524794,2025-03-02 14:18:17.131931,P2,Closed,C009,New Access,Operations,A0048,164.0,0
T0004413,2025-09-29 04:21:48.524794,2025-09-29 05:44:43.401923,P1,Resolved,C009,Access Request,Finance,A0041,193.0,0
T0000081,2024-07-07 21:39:48.524794,2024-07-09 16:30:18.598782,P4,Resolved,C011,Performance / Slowness,Customer Support,A0029,54.0,0
T0005034,2025-12-04 07:27:48.524794,2025-12-04 12:04:59.505601,High,Resolved,C007,Peripheral,IT,A0016,27.0,1
T0003213,2025-05-27 15:49:48.524794,2025-05-27 21:04:59.996393,P2,Resolved,C012,TEAMS ISSUE ,Procurement,A0054,,0
T0001334,2024-11-13 05:31:48.524794,2024-11-13 08:17:32.378811,P2,Closed,C003,wi-fi / lan connectivity,Engineering,A0004,147.0,1
T0001788,2024-12-31 18:57:48.524794,2024-12-31 22:45:41.386501,P2,Closed,C006,REPLACE LAPTOP,Engineering,A0048,,0
T0001098,2024-10-19 05:41:48.524794,,Low,In Progress,C003,Wifi Issue,Customer Support,A0047,77.0,0
T0003326,2025-06-07 09:43:48.524794,,P4,Open,C009,Access Request,Customer Support,A0019,82.0,0
T0004551,2025-10-13 22:42:48.524794,2025-10-14 13:46:21.777110,P3,Closed,C004,Account Locked,Procurement,A0020,89.0,0
T0004948,2025-11-26 12:24:48.524794,,P4,In Progress,C009,Access Req,Operations,A0039,116.0,0
T0004801,2025-11-11 20:18:48.524794,2025-11-13 08:06:15.079378,P3,Closed,C004,Password Reset / Account Lock,Marketing,A0046,85.0,0
T0004756,2025-11-05 08:06:48.524794,,P4,Pending User,C002,VPN,Operations,A0050,12.0,0
T0002687,2025-04-03 08:45:48.524794,2025-04-03 10:45:00.994496,P2 ,Resolved,C003,WI-FI / LAN CONNECTIVITY,Engineering,A0043,42.0,0
T0004589,2025-10-17 09:27:48.524794,2025-10-18 06:37:31.764625,P3,Closed,C001,Outlook Issue,IT,A0024,66.0,0
T0001780,2024-12-31 06:42:48.524794,2025-01-01 12:16:12.125163,P4,Closed,C002,VPN,Operations,A0060,,0
T0001601,2024-12-11 22:22:48.524794,2024-12-14 19:44:01.743898,P4,Resolved,C006,Hardware Replacement,HR,A0042,80.0,0
T0002402,2025-03-03 20:57:48.524794,2025-03-04 02:38:10.629572,P3,Closed,C004,Pwd Reset,Customer Support,A0030,92.0,0
T0004669,2025-10-26 03:18:48.524794,2025-10-26 12:02:59.008070,P3,Resolved,C003,Wifi Issue,Marketing,A0044,2.0,0
T0002782,2025-04-14 15:26:48.524794,2025-04-14 18:51:25.941507,P2,Closed,C007,printer issue,Sales,A0055,14.0,0
T0000089,2024-07-09 06:41:48.524794,,P3,In-Progress,C004,Password Reset / Account Lock,HR,A0058,5.0,1
T0000196,2024-07-20 14:30:48.524794,,P1,In Progress,C006,hardware replacement,Procurement,A0009,90.0,0
T0001523,2024-12-03 15:05:48.524794,2024-12-04 20:01:39.740299,P-4,Closed,C011,Performance / Slowness,Engineering,A0009,241.0,1
T0002893,2025-04-25 13:15:48.524794,,P4,Open,C007,PERIPHERAL,Operations,A0054,204.0,0
T0003456,2025-06-21 20:45:48.524794,2025-06-21 23:14:57.878787,P2,Closed,C002,Remote Access,Customer Support,A0033,,0
T0000356,2024-08-04 10:26:48.524794,,P4,In Progress,C006,Hardware Replace,Operations,A0001,7.0,0
T0002618,2025-03-27 14:32:48.524794,,P2,Pending User,C008,Application Crash,Operations,A0043,38.0,0
T0004438,2025-10-02 04:14:48.524794,2025-10-04 05:03:42.766968,P-3,Closed,C004,PASSWORD RESET / ACCOUNT LOCK,Operations,A0057,54.0,0
T0003795,2025-07-26 22:59:48.524794,2025-07-28 08:16:08.525104,P3,Closed,C004,Account Locked,Marketing,A0027,122.0,0
T0000612,2024-08-29 17:44:48.524794,2024-08-30 18:11:38.810879,P4,Closed,C002,VPN,Customer Support,A0040,17.0,0
T0005096,2025-12-10 07:08:48.524794,2025-12-10 13:47:44.505145,P3,Resolved,C002,vpn,Operations,A0051,23.0,0
T0004707,2025-10-30 02:51:48.524794,,P4,Open,C009,Access Request,Operations,A0021,99.0,0
T0004073,2025-08-25 17:46:48.524794,,Critical,Pending User,C008,APP CRASH,Engineering,A0019,3.0,0
T0002156,2025-02-06 09:09:48.524794,,P4,In Progress,C007,printer / peripheral,Legal,A0003,12.0,0
T0002310,2025-02-21 14:24:48.524794,2025-02-23 09:55:37.426313,P3,Resolved,C008,App Crash,Finance,A0023,,0
T0003052,2025-05-11 03:47:48.524794,2025-05-11 06:34:21.012636,P2,Resolved,C005,Software Install,Finance,A0025,70.0,0
T0002529,2025-03-17 20:09:48.524794,2025-03-18 17:36:05.424135,P3,Closed,C004,Pwd Reset,Engineering,A0017,80.0,0
T0001013,2024-10-10 02:07:48.524794,2024-10-12 11:37:24.066687,Medium,Resolved,C008,Application Failure,Finance,A0029,175.0,0
T0005191,2025-12-20 06:35:48.524794,2025-12-22 08:10:46.092684,P3,Closed,C004,Account Locked,Customer Support,A0017,59.0,1
T0004544,2025-10-13 07:38:48.524794,2025-10-15 02:37:41.064835,P4,Closed,C004,PASSWORD RESET / ACCOUNT LOCK,Engineering,A0016,8.0,0
T0001002,2024-10-08 07:14:48.524794,2024-10-08 08:07:22.910172,P1,Closed,C010,Alert - Security ,IT,A0011,20.0,1
T0003426,2025-06-19 04:53:48.524794,2025-06-20 01:39:35.051453,P3,Closed,C011,Slowness,Marketing,A0034,,0
T0002387,2025-03-01 19:33:48.524794,,P4,Open,C009,access request ,Finance,A0022,6.0,1
T0003221,2025-05-28 02:55:48.524794,2025-05-28 17:51:39.596394,P3,Resolved,C008,Application Crash,Sales,A0012,62.0,0
T0000556,2024-08-23 12:26:48.524794,2024-08-24 07:44:38.381086,P3,Closed,C005,Software Installation,Sales,A0031,218.0,0
T0002581,2025-03-23 01:41:48.524794,2025-03-23 08:58:16.909917,P3,Closed,C006,Hardware Replace,Operations,A0026,37.0,0
T0004918,2025-11-23 08:33:48.524794,2025-11-23 22:07:27.449668,P3,Resolved,C011,Performance / Slowness,Marketing,A0042,35.0,0
T0004957,2025-11-27 12:55:48.524794,2025-11-29 02:41:33.882580,P3,Closed,C011,Performance / Slowness,HR,A0058,1.0,0
T0001197,2024-10-30 09:29:48.524794,2024-11-06 01:43:43.322370,P4,Closed,C002,VPN,Engineering,A0013,51.0,0
T0003764,2025-07-22 22:11:48.524794,2025-07-23 11:46:59.675556,P3,Closed,C008,application failure,IT,A0048,13.0,0
T0002056,2025-01-28 02:50:48.524794,,P1,Open,C008,App Crash,Engineering,A0035,24.0,0
T0000414,2024-08-08 23:59:48.524794,2024-08-11 11:27:30.621056,P4,Closed,C003,LAN Connectivity,IT,A0004,1.0,0
T0005105,2025-12-11 09:23:48.524794,,P4,Pending User,C009,New Access ,Engineering,A0017,18.0,0
T0003726,2025-07-17 18:40:48.524794,2025-07-20 00:43:06.696334,P4,Closed,C011,performance / slowness,Engineering,A0010,36.0,0
T0004549,2025-10-13 20:13:48.524794,,P1,Open,C011,SLOWNESS ,Sales,A0054,114.0,0
T0002219,2025-02-12 06:50:48.524794,,P3,IN PROGRESS,C004,Pwd Reset,Engineering,A0026,137.0,0
T0002960,2025-05-03 09:19:48.524794,2025-05-09 17:56:54.696651,P4,Closed,C012,Teams Issue,Legal,A0019,18.0,0
T0002787,2025-04-14 23:03:48.524794,2025-04-15 04:01:13.837021,P3,Closed,C002,REMOTE ACCESS,Operations,A0008,70.0,1
T0001347,2024-11-15 08:51:48.524794,2024-11-18 02:43:45.807750,P4,Closed,C004,Password Reset / Account Lock,Sales,A0040,,0
T0003859,2025-08-02 00:52:48.524794,,P4,In Progress,C003,WIFI ISSUE,Operations,A0036,3.0,0
T0001827,2025-01-04 12:31:48.524794,2025-01-04 19:50:03.846852,P2,Closed,C006,Replace Laptop,Sales,A0014,,0
T0004213,2025-09-08 08:58:48.524794,,High,pending user,C006,Hardware Replacement,Customer Support,A0028,7.0,1
T0001312,2024-11-11 00:29:48.524794,2024-11-12 23:56:30.023847,P-3,Closed,C005,Software Installation,HR,A0059,77.0,0
T0004953,2025-11-27 06:55:48.524794,2025-11-28 05:46:41.194783,P3 ,Resolved,C007,Printer Issue,Customer Support,A0029,44.0,0
T0000070,2024-07-06 22:39:48.524794,2024-07-07 19:01:03.034150,P3,Resolved,C003,wifi issue,HR,A0037,115.0,0
T0004128,2025-09-01 10:18:48.524794,,P4,In Progress,C003,Wifi Issue,Procurement,A0040,28.0,0
T0004659,2025-10-25 06:42:48.524794,2025-10-25 17:12:39.568428,P2,Closed,C007,Printer / Peripheral,Engineering,A0057,48.0,0
T0001775,2024-12-31 03:17:48.524794,2024-12-31 14:11:21.159511,P2,Resolved,C008,App Crash,HR,A0041,96.0,0
T0000018,2024-07-02 05:21:48.524794,2024-07-02 14:14:59.523975,P3,Resolved,C005,INSTALL SOFTWARE,Engineering,A0034,120.0,0
T0003034,2025-05-09 22:15:48.524794,,P2,Open,C001,Email,Sales,A0020,16.0,0
T0002456,2025-03-09 15:10:48.524794,,P4,In Progress,C008,Application Crash,Procurement,A0019,25.0,0
T0000821,2024-09-20 14:22:48.524794,2024-09-20 18:42:26.273013,P2,Closed,C009,ACCESS REQUEST,Sales,A0007,49.0,0
T0002040,2025-01-27 03:49:48.524794,2025-01-27 12:09:25.505319,P3,Closed,C004,password reset / account lock,Sales,A0018,46.0,0
T0002117,2025-02-02 06:54:48.524794,2025-02-02 11:46:01.222904,P2,Resolved,C004,Pwd Reset,Operations,A0001,7.0,0
T0000696,2024-09-07 06:05:48.524794,2024-09-07 08:08:02.335993,High,Resolved,C008,APP CRASH,Engineering,A0020,,1
T0002797,2025-04-16 06:55:48.524794,,P3,Pending User,C007,printer issue,Operations,A0042,71.0,0
T0003655,2025-07-10 10:31:48.524794,2025-07-10 20:55:05.744938,P3,Closed,C004,Account Locked,IT,A0053,19.0,0
T0002615,2025-03-27 05:51:48.524794,2025-03-27 22:55:21.538762,P-4,Resolved,C010,Security Alert,Sales,A0017,15.0,0
T0004722,2025-11-01 10:34:48.524794,2025-11-02 08:22:09.636769,P3,Closed,C001,Email Issue,Finance,A0024,2.0,0
T0001365,2024-11-16 18:40:48.524794,,P3,Pending User,C001,Outlook Issue ,Engineering,A0020,4.0,0
T0004102,2025-08-29 07:36:48.524794,2025-08-29 18:09:14.529704,P-3,Closed,C006,Replace Laptop,Engineering,A0048,185.0,0
T0001393,2024-11-20 22:51:48.524794,,P3,Open,C008,application failure,Customer Support,A0053,18.0,0
T0000863,2024-09-24 23:51:48.524794,2024-09-25 10:38:10.048535,P3,Closed,C002,VPN,Customer Support,A0032,153.0,0
T0001183,2024-10-29 05:26:48.524794,,P3,Open,C005,Software Install,Operations,A0011,75.0,0
T0003469,2025-06-22 20:35:48.524794,2025-06-23 09:02:32.434181,P3,Closed,C011,PERFORMANCE ISSUE,IT,A0038,7.0,0
T0002698,2025-04-04 12:06:48.524794,2025-04-06 14:38:16.873294,P4,Closed,C011,Slowness,Sales,A0021,,0
T0004334,2025-09-20 04:04:48.524794,2025-09-20 19:45:44.655243,P3,Resolved,C002,VPN,HR,A0059,66.0,0
T0001541,2024-12-05 21:03:48.524794,2024-12-06 03:10:00.345130,P2,Resolved,C008,Application Crash,Sales,A0056,7.0,0
T0004951,2025-11-27 00:30:48.524794,2025-11-28 14:09:21.602122,Low,Closed,C001,Email,Customer Support,A0039,52.0,0
T0005186,2025-12-19 20:49:48.524794,,P3,Open,C009,New Access,Sales,A0007,29.0,0
T0002489,2025-03-13 07:29:48.524794,,P3,Pending User,C002,VPN,Customer Support,A0040,24.0,0
T0004392,2025-09-27 04:47:48.524794,,P4,Open,C004,Pwd Reset ,Legal,A0049,9.0,0
T0000585,2024-08-26 03:10:48.524794,2024-08-26 08:08:46.512103,P2,Closed,C006,Hardware Replace,Operations,A0024,23.0,1
T0001298,2024-11-09 23:47:48.524794,,P1 ,In Progress,C008,App Crash,Operations,A0052,105.0,1
T0003258,2025-05-31 20:13:48.524794,2025-06-01 16:47:33.576579,P3,Resolved,C007,Printer Issue,HR,A0024,33.0,0
T0001341,2024-11-14 21:34:48.524794,2024-11-15 07:07:55.276002,P3,Resolved,C012,ms teams / collaboration,HR,A0035,80.0,1
T0000737,2024-09-11 07:40:48.524794,2024-09-11 21:43:17.450391,P3,Closed,C009,access req,Customer Support,A0051,13.0,0
T0004937,2025-11-25 07:46:48.524794,2025-11-25 10:01:44.761317,P2,Resolved,C004,account locked,Engineering,A0001,41.0,0
T0003857,2025-08-02 00:28:48.524794,2025-08-02 23:53:40.282260,P-4,Resolved,C008,App Crash,IT,A0058,116.0,0
T0004463,2025-10-05 15:20:48.524794,2025-10-05 22:26:12.638218,P2,Closed,C008,Application Crash,HR,A0022,95.0,1
T0002682,2025-04-02 12:11:48.524794,,P3,In Progress,C004,Account Locked,Operations,A0017,258.0,0
T0001624,2024-12-14 15:52:48.524794,2024-12-15 10:21:33.569383,P3,Closed,C001,Email,Finance,A0043,1.0,0
T0000448,2024-08-12 01:55:48.524794,,P4,Open,C007,Printer Issue,Engineering,A0034,53.0,0
T0001726,2024-12-26 05:30:48.524794,2024-12-26 08:36:01.014971,Critical,Resolved,C007,Printer Issue,HR,A0036,100.0,1
T0003119,2025-05-18 02:30:48.524794,2025-05-18 18:25:29.557175,P3,Closed,C004,Account Locked,HR,A0032,21.0,0
T0004227,2025-09-10 00:24:48.524794,2025-09-10 02:15:41.213521,P1,Resolved,C004,Pwd Reset ,Customer Support,A0036,30.0,0
T0004902,2025-11-21 17:29:48.524794,2025-11-21 23:25:49.276485,P3,Resolved,C007,Printer / Peripheral,Sales,A0060,54.0,0
T0002229,2025-02-13 14:04:48.524794,2025-02-14 15:30:03.197579,P4,Resolved,C008,App Crash,Engineering,A0020,60.0,0
T0003348,2025-06-10 11:42:48.524794,2025-06-10 22:12:59.820443,P3,Closed,C006,Hardware Replace ,Sales,A0038,75.0,0
T0004093,2025-08-27 13:23:48.524794,2025-08-28 09:32:33.825824,P3,Resolved,C003,Wifi Issue ,HR,A0058,23.0,0
T0001803,2025-01-02 06:58:48.524794,2025-01-02 19:14:11.700820,P2,Closed,C004,PASSWORD RESET / ACCOUNT LOCK,Marketing,A0058,122.0,1
T0004325,2025-09-19 10:13:48.524794,2025-09-21 12:33:39.474067,P4,Closed,C004,ACCOUNT LOCKED,Operations,A0054,87.0,0
T0005160,2025-12-17 05:10:48.524794,,P3,In Progress,C005,Software Installation,HR,A0043,195.0,0
T0000872,2024-09-25 18:33:48.524794,,P3,In Progress,C004,Password Reset / Account Lock,Engineering,A0055,178.0,0
T0002493,2025-03-13 14:56:48.524794,,P3,In Progress,C004,Pwd Reset,Engineering,A0038,14.0,0
T0002593,2025-03-24 19:25:48.524794,2025-03-25 08:25:36.409657,High,Resolved,C001,EMAIL,IT,A0003,23.0,0
T0000478,2024-08-14 11:39:48.524794,,P3,In Progress,C008,Application Failure,Engineering,A0053,44.0,0
T0002685,2025-04-03 02:38:48.524794,,P3,Pending User,C004,ACCOUNT LOCKED,Cust Support,A0052,14.0,0
T0003871,2025-08-03 09:54:48.524794,2025-08-03 18:52:36.792614,P3,Closed,C004,Pwd Reset,Legal,A0033,5.0,0
T0000946,2024-10-03 05:11:48.524794,2024-10-04 01:29:48.128978,P-3,Closed,C007,Printer Issue,CustomerService,A0018,81.0,0
T0004760,2025-11-05 15:45:48.524794,2025-11-06 03:21:28.076612,P2,Closed,C012,Teams Issue,Customer Support,A0039,,0
T0000382,2024-08-05 20:03:48.524794,,P3,In Progress,C004,Account Locked,Finance,A0037,12.0,0
T0003867,2025-08-02 15:38:48.524794,2025-08-02 21:12:20.658767,P2 ,Closed,C004,ACCOUNT LOCKED,Marketing,A0021,125.0,0
T0001509,2024-12-01 19:28:48.524794,2024-12-02 21:33:03.249949,P4,Closed,C008,Application Crash,HR,A0011,5.0,0
T0003201,2025-05-25 22:39:48.524794,2025-05-27 08:42:39.114257,P4,Resolved,C008,Application Crash,HR,A0018,1.0,0
T0001491,2024-11-30 04:59:48.524794,,P3,In Progress,C009,Access Request,Engineering,A0024,12.0,0
T0005172,2025-12-18 18:11:48.524794,2025-12-19 05:54:42.100888,P3,Resolved,C004,Pwd Reset,Finance,A0053,40.0,0
T0000809,2024-09-19 11:02:48.524794,,P3,Open,C002,Remote Access,Finance,A0025,1.0,0
T0004923,2025-11-24 07:07:48.524794,2025-11-25 04:55:19.412234,P4,Resolved,C005,Install Software,IT,A0039,10.0,0
T0003755,2025-07-22 01:24:48.524794,2025-07-23 13:33:24.247189,P4 ,Closed,C004,Pwd Reset,Engineering,A0002,32.0,0
T0001851,2025-01-07 01:48:48.524794,2025-01-08 01:47:38.340011,P3,Closed,C004,PASSWORD RESET / ACCOUNT LOCK,IT,A0038,75.0,0
T0002267,2025-02-17 05:38:48.524794,2025-02-18 01:59:15.347242,P3,Closed,C002,VPN / Remote Access,Engineering,A0057,81.0,0
T0000647,2024-09-02 07:55:48.524794,,P3,In Progress,C012,TEAMS ISSUE,Legal,A0003,18.0,0
T0003383,2025-06-14 14:26:48.524794,2025-06-14 21:48:00.358159,P2,Closed,C009,New Access ,Operations,A0007,95.0,0
T0002467,2025-03-11 05:36:48.524794,2025-03-11 11:15:06.259197,P2,Closed,C006,Replace Laptop,Operations,A0025,40.0,1
T0004050,2025-08-22 20:05:48.524794,2025-08-24 13:55:11.449099,P3,Resolved,C010,ALERT - SECURITY,Operations,A0054,107.0,0
T0000601,2024-08-28 08:16:48.524794,2024-08-28 22:45:11.189622,P3,Closed,C004,ACCOUNT LOCKED,Sales,A0005,,0
T0003414,2025-06-17 20:57:48.524794,2025-06-18 14:22:09.517938,P3,Resolved,C005,Install Software,Engineering,A0014,78.0,0
T0004267,2025-09-14 04:27:48.524794,2025-09-14 10:42:43.564718,P1,Closed,C011,slowness,Engineering,A0025,,0
T0003740,2025-07-20 08:16:48.524794,2025-07-20 10:53:55.853686,P1,Resolved,C003,Wi-Fi / LAN Connectivity ,Finance,A0012,48.0,0
T0000335,2024-08-02 05:57:48.524794,2024-08-02 08:59:24.873812,Critical,Resolved,C012,Teams Issue,Customer Support,A0002,187.0,0
T0002221,2025-02-12 10:53:48.524794,2025-02-12 12:29:56.703386,P1,Closed,C001,EMAIL ISSUE,Operations,A0008,32.0,0
T0001927,2025-01-15 10:35:48.524794,2025-01-16 01:45:49.186830,P3,Closed,C001,Email,Customer Support,A0039,47.0,1
T0001205,2024-10-31 03:33:48.524794,2024-11-02 05:13:32.450111,P3,Closed,C001,OUTLOOK ISSUE,Procurement,A0038,8.0,0
T0004083,2025-08-26 15:05:48.524794,2025-09-02 13:38:27.848536,P4,Closed,C006,HARDWARE REPLACEMENT,Operations,A0060,35.0,0
T0000084,2024-07-08 07:50:48.524794,2024-07-09 10:59:20.256842,P3,Closed,C005,SOFTWARE INSTALL,Marketing,A0002,1.0,0
T0004305,2025-09-17 21:11:48.524794,,P3,IN PROGRESS,C008,Application Failure,HR,A0010,7.0,1
T0000804,2024-09-19 03:02:48.524794,,P3,Pending User,C005,Software Install,Engineering,A0032,30.0,0
T0001633,2024-12-15 12:36:48.524794,,P3,Pending User,C005,Software Install,Legal,A0016,,0
T0004961,2025-11-27 19:42:48.524794,,P2,Open,C006,Hardware Replacement,Operations,A0015,165.0,0
T0002834,2025-04-19 13:54:48.524794,2025-04-21 23:13:43.867860,P3,Resolved,C010,Security Alert ,Operations,A0058,215.0,0
T0000998,2024-10-08 01:12:48.524794,,P2,In Progress,C008,Application Crash,Engineering,A0053,27.0,0
T0000424,2024-08-10 01:27:48.524794,2024-08-10 23:01:17.632102,P3,Resolved,C007,Printer / Peripheral ,IT,A0014,125.0,0
T0001807,2025-01-02 10:47:48.524794,2025-01-02 21:00:35.731530,P3,Closed,C001,Outlook Issue,Engineering,A0031,1.0,0
T0002522,2025-03-17 11:21:48.524794,2025-03-17 20:45:35.096272,P3,Closed,C008,Application Failure,Engineering,A0060,2.0,0
T0000013,2024-07-01 07:02:48.524794,2024-07-01 09:57:38.124997,P2,Resolved,C002,VPN / Remote Access,Marketing,A0035,166.0,0
T0001832,2025-01-04 22:33:48.524794,2025-01-06 10:21:09.271249,P4,Closed,C008,Application Failure,Customer Support,A0009,69.0,0
T0000866,2024-09-25 09:25:48.524794,2024-09-26 07:43:18.763868,P3,Closed,C001,Outlook Issue,Marketing,A0007,79.0,1
